city,type,date,annee,mois,temperature_max_celsius,temperature_min_celsius,precipitation_mm,humidity_max_percent,humidity_min_percent,wind_speed_kmh
El Jadida,climat_historique,2020-01-01,2020,,17.4,8.4,0.0,95,70,14.3
El Jadida,climat_historique,2020-01-02,2020,,16.8,10.4,0.0,98,69,10.6
El Jadida,climat_historique,2020-01-03,2020,,17.1,8.8,0.0,93,66,13.8
El Jadida,climat_historique,2020-01-04,2020,,17.0,10.9,0.0,92,63,18.3
El Jadida,climat_historique,2020-01-05,2020,,15.6,9.4,0.1,95,74,11.4
El Jadida,climat_historique,2020-01-06,2020,,16.6,8.2,0.0,98,66,19.2
El Jadida,climat_historique,2020-01-07,2020,,16.5,10.4,0.0,94,71,20.1
El Jadida,climat_historique,2020-01-08,2020,,17.0,7.2,0.0,96,78,10.0
El Jadida,climat_historique,2020-01-09,2020,,17.4,10.4,0.0,99,66,18.8
El Jadida,climat_historique,2020-01-10,2020,,17.9,13.9,0.1,89,65,23.8
El Jadida,climat_historique,2020-01-11,2020,,16.5,13.8,0.0,74,59,25.5
El Jadida,climat_historique,2020-01-12,2020,,15.8,8.6,0.0,87,55,21.9
El Jadida,climat_historique,2020-01-13,2020,,16.4,8.6,0.0,95,64,10.1
El Jadida,climat_historique,2020-01-14,2020,,18.0,7.4,0.0,97,49,12.7
El Jadida,climat_historique,2020-01-15,2020,,20.3,7.8,0.0,86,29,18.2
El Jadida,climat_historique,2020-01-16,2020,,18.5,6.0,0.0,84,45,13.7
El Jadida,climat_historique,2020-01-17,2020,,18.0,7.2,0.0,89,43,17.7
El Jadida,climat_historique,2020-01-18,2020,,17.8,6.8,0.0,96,50,13.4
El Jadida,climat_historique,2020-01-19,2020,,17.2,11.9,3.8,99,58,27.8
El Jadida,climat_historique,2020-01-20,2020,,13.9,8.9,11.9,96,72,24.5
El Jadida,climat_historique,2020-01-21,2020,,14.3,7.2,0.3,98,64,14.8
El Jadida,climat_historique,2020-01-22,2020,,15.3,9.3,2.0,93,70,25.6
El Jadida,climat_historique,2020-01-23,2020,,15.4,11.5,3.2,92,71,33.4
El Jadida,climat_historique,2020-01-24,2020,,15.6,11.9,5.4,92,80,33.6
El Jadida,climat_historique,2020-01-25,2020,,16.1,12.1,11.8,90,69,33.2
El Jadida,climat_historique,2020-01-26,2020,,16.5,10.1,0.2,93,73,14.4
El Jadida,climat_historique,2020-01-27,2020,,16.8,9.1,0.0,93,69,19.1
El Jadida,climat_historique,2020-01-28,2020,,17.8,9.1,0.0,91,68,17.1
El Jadida,climat_historique,2020-01-29,2020,,18.6,7.5,0.0,95,61,9.3
El Jadida,climat_historique,2020-01-30,2020,,20.6,7.7,0.0,91,59,14.5
El Jadida,climat_historique,2020-01-31,2020,,18.8,6.3,0.0,93,55,13.6
El Jadida,climat_historique,2020-02-01,2020,,19.5,8.5,0.0,90,63,22.4
El Jadida,climat_historique,2020-02-02,2020,,20.2,12.6,0.0,94,71,19.1
El Jadida,climat_historique,2020-02-03,2020,,23.1,9.4,0.0,97,49,15.2
El Jadida,climat_historique,2020-02-04,2020,,19.1,11.5,0.0,95,73,19.5
El Jadida,climat_historique,2020-02-05,2020,,19.7,10.4,0.0,98,74,10.6
El Jadida,climat_historique,2020-02-06,2020,,19.6,9.3,0.0,98,61,10.9
El Jadida,climat_historique,2020-02-07,2020,,18.4,12.5,0.0,97,75,15.2
El Jadida,climat_historique,2020-02-08,2020,,17.5,10.2,0.4,99,77,16.2
El Jadida,climat_historique,2020-02-09,2020,,17.9,12.8,0.0,95,75,23.5
El Jadida,climat_historique,2020-02-10,2020,,18.2,13.4,0.0,95,71,17.3
El Jadida,climat_historique,2020-02-11,2020,,19.1,10.9,0.0,97,78,13.5
El Jadida,climat_historique,2020-02-12,2020,,18.1,9.7,0.0,98,76,13.5
El Jadida,climat_historique,2020-02-13,2020,,17.6,12.1,0.0,99,73,19.9
El Jadida,climat_historique,2020-02-14,2020,,18.5,13.1,0.0,94,70,20.6
El Jadida,climat_historique,2020-02-15,2020,,18.6,13.4,0.0,95,68,17.0
El Jadida,climat_historique,2020-02-16,2020,,19.0,13.4,0.0,97,74,20.1
El Jadida,climat_historique,2020-02-17,2020,,18.5,13.9,0.0,95,69,26.4
El Jadida,climat_historique,2020-02-18,2020,,18.4,15.1,0.7,93,76,29.8
El Jadida,climat_historique,2020-02-19,2020,,18.4,14.4,0.0,93,68,19.6
El Jadida,climat_historique,2020-02-20,2020,,19.2,12.8,0.0,99,73,18.2
El Jadida,climat_historique,2020-02-21,2020,,19.0,11.6,0.0,100,65,19.2
El Jadida,climat_historique,2020-02-22,2020,,20.0,12.6,0.0,93,62,19.0
El Jadida,climat_historique,2020-02-23,2020,,23.5,10.1,0.0,95,30,13.8
El Jadida,climat_historique,2020-02-24,2020,,20.0,8.6,0.0,98,47,11.7
El Jadida,climat_historique,2020-02-25,2020,,18.2,11.9,0.0,99,69,20.1
El Jadida,climat_historique,2020-02-26,2020,,18.4,14.6,0.0,85,61,29.8
El Jadida,climat_historique,2020-02-27,2020,,18.6,13.0,0.0,92,63,26.7
El Jadida,climat_historique,2020-02-28,2020,,20.6,9.9,0.0,95,57,15.8
El Jadida,climat_historique,2020-02-29,2020,,18.2,12.6,0.3,99,64,14.6
El Jadida,climat_historique,2020-03-01,2020,,19.4,12.3,0.3,97,72,14.5
El Jadida,climat_historique,2020-03-02,2020,,19.7,13.8,0.3,100,68,12.6
El Jadida,climat_historique,2020-03-03,2020,,19.3,14.5,0.0,97,69,25.0
El Jadida,climat_historique,2020-03-04,2020,,19.2,14.0,0.0,91,68,28.5
El Jadida,climat_historique,2020-03-05,2020,,18.1,15.2,0.3,91,68,25.7
El Jadida,climat_historique,2020-03-06,2020,,18.3,15.4,0.1,75,50,28.9
El Jadida,climat_historique,2020-03-07,2020,,18.4,12.7,0.0,83,54,31.2
El Jadida,climat_historique,2020-03-08,2020,,19.4,13.8,0.0,82,52,25.9
El Jadida,climat_historique,2020-03-09,2020,,19.5,14.4,0.0,90,64,27.9
El Jadida,climat_historique,2020-03-10,2020,,19.6,13.6,0.0,95,61,24.7
El Jadida,climat_historique,2020-03-11,2020,,21.9,11.1,0.0,99,55,12.7
El Jadida,climat_historique,2020-03-12,2020,,19.0,9.9,0.0,99,70,14.1
El Jadida,climat_historique,2020-03-13,2020,,18.6,14.3,0.0,98,65,20.6
El Jadida,climat_historique,2020-03-14,2020,,18.6,14.4,0.0,91,64,16.5
El Jadida,climat_historique,2020-03-15,2020,,18.7,13.9,0.0,91,63,14.5
El Jadida,climat_historique,2020-03-16,2020,,16.6,14.6,1.0,90,49,31.4
El Jadida,climat_historique,2020-03-17,2020,,16.5,11.9,6.0,91,53,20.2
El Jadida,climat_historique,2020-03-18,2020,,15.4,9.8,8.7,97,63,15.5
El Jadida,climat_historique,2020-03-19,2020,,18.9,12.6,0.4,96,73,19.1
El Jadida,climat_historique,2020-03-20,2020,,18.0,14.3,3.9,99,71,27.1
El Jadida,climat_historique,2020-03-21,2020,,17.8,13.4,0.4,85,48,27.2
El Jadida,climat_historique,2020-03-22,2020,,16.8,12.5,1.2,93,65,13.4
El Jadida,climat_historique,2020-03-23,2020,,17.5,11.2,0.0,92,65,31.4
El Jadida,climat_historique,2020-03-24,2020,,16.5,14.0,2.3,95,71,23.8
El Jadida,climat_historique,2020-03-25,2020,,19.0,11.9,1.4,97,61,15.3
El Jadida,climat_historique,2020-03-26,2020,,19.0,12.4,0.0,95,69,24.7
El Jadida,climat_historique,2020-03-27,2020,,18.4,14.8,0.5,93,68,18.1
El Jadida,climat_historique,2020-03-28,2020,,18.5,13.9,0.4,85,51,18.8
El Jadida,climat_historique,2020-03-29,2020,,18.1,10.6,0.0,96,60,17.4
El Jadida,climat_historique,2020-03-30,2020,,19.1,10.2,1.7,94,53,35.6
El Jadida,climat_historique,2020-03-31,2020,,18.6,15.1,5.2,90,65,38.8
El Jadida,climat_historique,2020-04-01,2020,,17.9,13.8,4.2,86,61,22.8
El Jadida,climat_historique,2020-04-02,2020,,18.0,14.2,1.0,77,52,20.4
El Jadida,climat_historique,2020-04-03,2020,,18.6,11.0,0.0,88,57,26.7
El Jadida,climat_historique,2020-04-04,2020,,19.1,13.9,0.4,93,70,21.4
El Jadida,climat_historique,2020-04-05,2020,,21.0,13.8,0.0,96,67,24.2
El Jadida,climat_historique,2020-04-06,2020,,20.3,16.5,1.3,98,74,16.1
El Jadida,climat_historique,2020-04-07,2020,,20.5,16.1,0.0,98,71,25.0
El Jadida,climat_historique,2020-04-08,2020,,20.2,16.0,0.0,95,76,16.8
El Jadida,climat_historique,2020-04-09,2020,,20.3,16.7,0.0,98,74,17.6
El Jadida,climat_historique,2020-04-10,2020,,20.4,16.8,0.0,95,68,28.2
El Jadida,climat_historique,2020-04-11,2020,,20.0,16.8,0.0,88,64,23.1
El Jadida,climat_historique,2020-04-12,2020,,19.9,16.5,1.4,91,64,18.8
El Jadida,climat_historique,2020-04-13,2020,,19.1,15.5,3.0,91,61,21.7
El Jadida,climat_historique,2020-04-14,2020,,19.7,14.8,0.9,90,60,34.9
El Jadida,climat_historique,2020-04-15,2020,,20.3,15.8,0.2,89,61,32.3
El Jadida,climat_historique,2020-04-16,2020,,22.0,13.9,0.0,94,49,26.5
El Jadida,climat_historique,2020-04-17,2020,,20.3,14.8,0.2,97,58,19.0
El Jadida,climat_historique,2020-04-18,2020,,20.0,15.9,0.0,95,67,23.4
El Jadida,climat_historique,2020-04-19,2020,,19.6,16.1,0.9,90,60,20.4
El Jadida,climat_historique,2020-04-20,2020,,20.2,14.6,2.0,89,53,33.4
El Jadida,climat_historique,2020-04-21,2020,,19.5,15.0,2.2,91,43,29.2
El Jadida,climat_historique,2020-04-22,2020,,19.6,13.4,0.2,92,61,29.6
El Jadida,climat_historique,2020-04-23,2020,,19.9,15.9,0.1,91,61,22.7
El Jadida,climat_historique,2020-04-24,2020,,20.2,16.2,3.7,95,66,22.0
El Jadida,climat_historique,2020-04-25,2020,,18.4,14.4,15.5,94,66,20.7
El Jadida,climat_historique,2020-04-26,2020,,19.1,13.2,0.0,92,52,16.2
El Jadida,climat_historique,2020-04-27,2020,,20.5,12.9,0.2,94,68,20.0
El Jadida,climat_historique,2020-04-28,2020,,20.8,15.2,1.7,97,58,21.6
El Jadida,climat_historique,2020-04-29,2020,,20.4,15.9,0.8,94,63,25.6
El Jadida,climat_historique,2020-04-30,2020,,20.4,15.9,0.0,87,63,24.6
El Jadida,climat_historique,2020-05-01,2020,,21.0,17.1,0.0,91,59,28.9
