indicateur,periode,valeur
Moyenne des précipitations nationales (En mm),2012-17,345.18333333333334
Blé tendre,2012-17,2111.2929764933333
Superficie Cultivée totale,2012-17,7546.9591855551835
Blé tendre,2012-17,39835.227331838454
Blé tendre,2012-17,18.44549448257435
Moyenne des précipitations nationales (En mm),2017/18,348.24
Blé tendre,2017/18,1891.46
Superficie Cultivée totale,2017/18,8900.426
Blé tendre,2017/18,49101.128600000004
Blé tendre,2017/18,25.959379844141566
Moyenne des précipitations nationales (En mm),2018/19,296.7
Blé tendre,2018/19,1687.3
Superficie Cultivée totale,2018/19,6437.880282410053
Blé tendre,2018/19,26816.5
Blé tendre,2018/19,15.893142891009305
Moyenne des précipitations nationales (En mm),2019/20,255.6
Blé tendre,2019/20,1852.0
Superficie Cultivée totale,2019/20,8420.166
Blé tendre,2019/20,17700.0
Blé tendre,2019/20,9.557235421166308
Moyenne des précipitations nationales (En mm),2020/21,291
Blé tendre,2020/21,1876.657
Superficie Cultivée totale,2020/21,7635.056592042858
Blé tendre,2020/21,50606.99999999996
Blé tendre,2020/21,26.966568744315005
Moyenne des précipitations nationales (En mm),2021/22,188
Blé tendre,2021/22,1602
Superficie Cultivée totale,2021/22,0
Blé tendre,2021/22,18900
Blé tendre,2021/22,11.797752808988765
