culture,variete,region,annee,type_sol,clay_pct,sand_pct,ph,irrigation,n_kg_ha,p2o5_kg_ha,k2o_kg_ha,semis_jour,precip_total_mm,etp_total_mm,tmax_mean,tmin_mean,hot_days,rainy_days,precip_etp_ratio,days_in_period,rendement_qx_ha
ble,Achtar,El Jadida,2015,Argileux,45,20,7.0,0,48.0,30.0,48.0,305,201.5,489.71000000000004,19.33473684210526,13.210526315789474,0,43,0.4114680116803822,190,22.9
ble,Achtar,El Jadida,2015,Argileux,45,20,7.0,0,48.0,30.0,48.0,320,194.40000000000003,517.0699999999999,19.31368421052631,13.20736842105263,0,48,0.37596456959405894,190,27.6
ble,Achtar,El Jadida,2015,Argileux,45,20,7.0,0,48.0,30.0,48.0,335,192.90000000000003,557.6899999999999,19.574736842105263,13.445263157894738,0,47,0.3458910864458751,190,21.4
ble,Achtar,El Jadida,2015,Argileux,45,20,7.0,0,80.0,50.0,80.0,305,201.5,489.71000000000004,19.33473684210526,13.210526315789474,0,43,0.4114680116803822,190,32.7
ble,Achtar,El Jadida,2015,Argileux,45,20,7.0,0,80.0,50.0,80.0,320,194.40000000000003,517.0699999999999,19.31368421052631,13.20736842105263,0,48,0.37596456959405894,190,39.4
ble,Achtar,El Jadida,2015,Argileux,45,20,7.0,0,80.0,50.0,80.0,335,192.90000000000003,557.6899999999999,19.574736842105263,13.445263157894738,0,47,0.3458910864458751,190,30.6
ble,Achtar,El Jadida,2015,Argileux,45,20,7.0,0,104.0,65.0,104.0,305,201.5,489.71000000000004,19.33473684210526,13.210526315789474,0,43,0.4114680116803822,190,29.4
ble,Achtar,El Jadida,2015,Argileux,45,20,7.0,0,104.0,65.0,104.0,320,194.40000000000003,517.0699999999999,19.31368421052631,13.20736842105263,0,48,0.37596456959405894,190,35.5
ble,Achtar,El Jadida,2015,Argileux,45,20,7.0,0,104.0,65.0,104.0,335,192.90000000000003,557.6899999999999,19.574736842105263,13.445263157894738,0,47,0.3458910864458751,190,27.5
ble,Achtar,El Jadida,2015,Argileux,45,20,7.0,1,48.0,30.0,48.0,305,201.5,489.71000000000004,19.33473684210526,13.210526315789474,0,43,0.4114680116803822,190,28.6
ble,Achtar,El Jadida,2015,Argileux,45,20,7.0,1,48.0,30.0,48.0,320,194.40000000000003,517.0699999999999,19.31368421052631,13.20736842105263,0,48,0.37596456959405894,190,34.5
ble,Achtar,El Jadida,2015,Argileux,45,20,7.0,1,48.0,30.0,48.0,335,192.90000000000003,557.6899999999999,19.574736842105263,13.445263157894738,0,47,0.3458910864458751,190,26.7
ble,Achtar,El Jadida,2015,Argileux,45,20,7.0,1,80.0,50.0,80.0,305,201.5,489.71000000000004,19.33473684210526,13.210526315789474,0,43,0.4114680116803822,190,40.8
ble,Achtar,El Jadida,2015,Argileux,45,20,7.0,1,80.0,50.0,80.0,320,194.40000000000003,517.0699999999999,19.31368421052631,13.20736842105263,0,48,0.37596456959405894,190,49.3
ble,Achtar,El Jadida,2015,Argileux,45,20,7.0,1,80.0,50.0,80.0,335,192.90000000000003,557.6899999999999,19.574736842105263,13.445263157894738,0,47,0.3458910864458751,190,38.2
ble,Achtar,El Jadida,2015,Argileux,45,20,7.0,1,104.0,65.0,104.0,305,201.5,489.71000000000004,19.33473684210526,13.210526315789474,0,43,0.4114680116803822,190,36.8
ble,Achtar,El Jadida,2015,Argileux,45,20,7.0,1,104.0,65.0,104.0,320,194.40000000000003,517.0699999999999,19.31368421052631,13.20736842105263,0,48,0.37596456959405894,190,44.3
ble,Achtar,El Jadida,2015,Argileux,45,20,7.0,1,104.0,65.0,104.0,335,192.90000000000003,557.6899999999999,19.574736842105263,13.445263157894738,0,47,0.3458910864458751,190,34.4
ble,Marzak,El Jadida,2015,Argileux,45,20,7.0,0,48.0,30.0,48.0,305,201.5,489.71000000000004,19.33473684210526,13.210526315789474,0,43,0.4114680116803822,190,25.3
ble,Marzak,El Jadida,2015,Argileux,45,20,7.0,0,48.0,30.0,48.0,320,194.40000000000003,517.0699999999999,19.31368421052631,13.20736842105263,0,48,0.37596456959405894,190,30.5
ble,Marzak,El Jadida,2015,Argileux,45,20,7.0,0,48.0,30.0,48.0,335,192.90000000000003,557.6899999999999,19.574736842105263,13.445263157894738,0,47,0.3458910864458751,190,23.6
ble,Marzak,El Jadida,2015,Argileux,45,20,7.0,0,80.0,50.0,80.0,305,201.5,489.71000000000004,19.33473684210526,13.210526315789474,0,43,0.4114680116803822,190,36.1
ble,Marzak,El Jadida,2015,Argileux,45,20,7.0,0,80.0,50.0,80.0,320,194.40000000000003,517.0699999999999,19.31368421052631,13.20736842105263,0,48,0.37596456959405894,190,43.6
ble,Marzak,El Jadida,2015,Argileux,45,20,7.0,0,80.0,50.0,80.0,335,192.90000000000003,557.6899999999999,19.574736842105263,13.445263157894738,0,47,0.3458910864458751,190,33.8
ble,Marzak,El Jadida,2015,Argileux,45,20,7.0,0,104.0,65.0,104.0,305,201.5,489.71000000000004,19.33473684210526,13.210526315789474,0,43,0.4114680116803822,190,32.5
ble,Marzak,El Jadida,2015,Argileux,45,20,7.0,0,104.0,65.0,104.0,320,194.40000000000003,517.0699999999999,19.31368421052631,13.20736842105263,0,48,0.37596456959405894,190,39.2
ble,Marzak,El Jadida,2015,Argileux,45,20,7.0,0,104.0,65.0,104.0,335,192.90000000000003,557.6899999999999,19.574736842105263,13.445263157894738,0,47,0.3458910864458751,190,30.4
ble,Marzak,El Jadida,2015,Argileux,45,20,7.0,1,48.0,30.0,48.0,305,201.5,489.71000000000004,19.33473684210526,13.210526315789474,0,43,0.4114680116803822,190,31.6
ble,Marzak,El Jadida,2015,Argileux,45,20,7.0,1,48.0,30.0,48.0,320,194.40000000000003,517.0699999999999,19.31368421052631,13.20736842105263,0,48,0.37596456959405894,190,38.1
ble,Marzak,El Jadida,2015,Argileux,45,20,7.0,1,48.0,30.0,48.0,335,192.90000000000003,557.6899999999999,19.574736842105263,13.445263157894738,0,47,0.3458910864458751,190,29.5
ble,Marzak,El Jadida,2015,Argileux,45,20,7.0,1,80.0,50.0,80.0,305,201.5,489.71000000000004,19.33473684210526,13.210526315789474,0,43,0.4114680116803822,190,45.1
ble,Marzak,El Jadida,2015,Argileux,45,20,7.0,1,80.0,50.0,80.0,320,194.40000000000003,517.0699999999999,19.31368421052631,13.20736842105263,0,48,0.37596456959405894,190,54.4
ble,Marzak,El Jadida,2015,Argileux,45,20,7.0,1,80.0,50.0,80.0,335,192.90000000000003,557.6899999999999,19.574736842105263,13.445263157894738,0,47,0.3458910864458751,190,42.2
ble,Marzak,El Jadida,2015,Argileux,45,20,7.0,1,104.0,65.0,104.0,305,201.5,489.71000000000004,19.33473684210526,13.210526315789474,0,43,0.4114680116803822,190,40.6
ble,Marzak,El Jadida,2015,Argileux,45,20,7.0,1,104.0,65.0,104.0,320,194.40000000000003,517.0699999999999,19.31368421052631,13.20736842105263,0,48,0.37596456959405894,190,49.0
ble,Marzak,El Jadida,2015,Argileux,45,20,7.0,1,104.0,65.0,104.0,335,192.90000000000003,557.6899999999999,19.574736842105263,13.445263157894738,0,47,0.3458910864458751,190,38.0
