city,date,temperature_max_celsius,temperature_min_celsius,humidity_max_percent,humidity_min_percent,precipitation_mm,wind_speed_kmh
El Jadida,2020-01-01,17.4,8.4,95,70,0.0,14.3
El Jadida,2020-01-02,16.8,10.4,98,69,0.0,10.6
El Jadida,2020-01-03,17.1,8.8,93,66,0.0,13.8
El Jadida,2020-01-04,17.0,10.9,92,63,0.0,18.3
El Jadida,2020-01-05,15.6,9.4,95,74,0.1,11.4
El Jadida,2020-01-06,16.6,8.2,98,66,0.0,19.2
El Jadida,2020-01-07,16.5,10.4,94,71,0.0,20.1
El Jadida,2020-01-08,17.0,7.2,96,78,0.0,10.0
El Jadida,2020-01-09,17.4,10.4,99,66,0.0,18.8
El Jadida,2020-01-10,17.9,13.9,89,65,0.1,23.8
El Jadida,2020-01-11,16.5,13.8,74,59,0.0,25.5
El Jadida,2020-01-12,15.8,8.6,87,55,0.0,21.9
El Jadida,2020-01-13,16.4,8.6,95,64,0.0,10.1
El Jadida,2020-01-14,18.0,7.4,97,49,0.0,12.7
El Jadida,2020-01-15,20.3,7.8,86,29,0.0,18.2
El Jadida,2020-01-16,18.5,6.0,84,45,0.0,13.7
El Jadida,2020-01-17,18.0,7.2,89,43,0.0,17.7
El Jadida,2020-01-18,17.8,6.8,96,50,0.0,13.4
El Jadida,2020-01-19,17.2,11.9,99,58,3.8,27.8
El Jadida,2020-01-20,13.9,8.9,96,72,11.9,24.5
El Jadida,2020-01-21,14.3,7.2,98,64,0.3,14.8
El Jadida,2020-01-22,15.3,9.3,93,70,2.0,25.6
El Jadida,2020-01-23,15.4,11.5,92,71,3.2,33.4
El Jadida,2020-01-24,15.6,11.9,92,80,5.4,33.6
El Jadida,2020-01-25,16.1,12.1,90,69,11.8,33.2
El Jadida,2020-01-26,16.5,10.1,93,73,0.2,14.4
El Jadida,2020-01-27,16.8,9.1,93,69,0.0,19.1
El Jadida,2020-01-28,17.8,9.1,91,68,0.0,17.1
El Jadida,2020-01-29,18.6,7.5,95,61,0.0,9.3
El Jadida,2020-01-30,20.6,7.7,91,59,0.0,14.5
El Jadida,2020-01-31,18.8,6.3,93,55,0.0,13.6
El Jadida,2020-02-01,19.5,8.5,90,63,0.0,22.4
El Jadida,2020-02-02,20.2,12.6,94,71,0.0,19.1
El Jadida,2020-02-03,23.1,9.4,97,49,0.0,15.2
El Jadida,2020-02-04,19.1,11.5,95,73,0.0,19.5
El Jadida,2020-02-05,19.7,10.4,98,74,0.0,10.6
El Jadida,2020-02-06,19.6,9.3,98,61,0.0,10.9
El Jadida,2020-02-07,18.4,12.5,97,75,0.0,15.2
El Jadida,2020-02-08,17.5,10.2,99,77,0.4,16.2
El Jadida,2020-02-09,17.9,12.8,95,75,0.0,23.5
El Jadida,2020-02-10,18.2,13.4,95,71,0.0,17.3
El Jadida,2020-02-11,19.1,10.9,97,78,0.0,13.5
El Jadida,2020-02-12,18.1,9.7,98,76,0.0,13.5
El Jadida,2020-02-13,17.6,12.1,99,73,0.0,19.9
El Jadida,2020-02-14,18.5,13.1,94,70,0.0,20.6
El Jadida,2020-02-15,18.6,13.4,95,68,0.0,17.0
El Jadida,2020-02-16,19.0,13.4,97,74,0.0,20.1
El Jadida,2020-02-17,18.5,13.9,95,69,0.0,26.4
El Jadida,2020-02-18,18.4,15.1,93,76,0.7,29.8
El Jadida,2020-02-19,18.4,14.4,93,68,0.0,19.6
El Jadida,2020-02-20,19.2,12.8,99,73,0.0,18.2
El Jadida,2020-02-21,19.0,11.6,100,65,0.0,19.2
El Jadida,2020-02-22,20.0,12.6,93,62,0.0,19.0
El Jadida,2020-02-23,23.5,10.1,95,30,0.0,13.8
El Jadida,2020-02-24,20.0,8.6,98,47,0.0,11.7
El Jadida,2020-02-25,18.2,11.9,99,69,0.0,20.1
El Jadida,2020-02-26,18.4,14.6,85,61,0.0,29.8
El Jadida,2020-02-27,18.6,13.0,92,63,0.0,26.7
El Jadida,2020-02-28,20.6,9.9,95,57,0.0,15.8
El Jadida,2020-02-29,18.2,12.6,99,64,0.3,14.6
El Jadida,2020-03-01,19.4,12.3,97,72,0.3,14.5
El Jadida,2020-03-02,19.7,13.8,100,68,0.3,12.6
El Jadida,2020-03-03,19.3,14.5,97,69,0.0,25.0
El Jadida,2020-03-04,19.2,14.0,91,68,0.0,28.5
El Jadida,2020-03-05,18.1,15.2,91,68,0.3,25.7
El Jadida,2020-03-06,18.3,15.4,75,50,0.1,28.9
El Jadida,2020-03-07,18.4,12.7,83,54,0.0,31.2
El Jadida,2020-03-08,19.4,13.8,82,52,0.0,25.9
El Jadida,2020-03-09,19.5,14.4,90,64,0.0,27.9
El Jadida,2020-03-10,19.6,13.6,95,61,0.0,24.7
El Jadida,2020-03-11,21.9,11.1,99,55,0.0,12.7
El Jadida,2020-03-12,19.0,9.9,99,70,0.0,14.1
El Jadida,2020-03-13,18.6,14.3,98,65,0.0,20.6
El Jadida,2020-03-14,18.6,14.4,91,64,0.0,16.5
El Jadida,2020-03-15,18.7,13.9,91,63,0.0,14.5
El Jadida,2020-03-16,16.6,14.6,90,49,1.0,31.4
El Jadida,2020-03-17,16.5,11.9,91,53,6.0,20.2
El Jadida,2020-03-18,15.4,9.8,97,63,8.7,15.5
El Jadida,2020-03-19,18.9,12.6,96,73,0.4,19.1
El Jadida,2020-03-20,18.0,14.3,99,71,3.9,27.1
El Jadida,2020-03-21,17.8,13.4,85,48,0.4,27.2
El Jadida,2020-03-22,16.8,12.5,93,65,1.2,13.4
El Jadida,2020-03-23,17.5,11.2,92,65,0.0,31.4
El Jadida,2020-03-24,16.5,14.0,95,71,2.3,23.8
El Jadida,2020-03-25,19.0,11.9,97,61,1.4,15.3
El Jadida,2020-03-26,19.0,12.4,95,69,0.0,24.7
El Jadida,2020-03-27,18.4,14.8,93,68,0.5,18.1
El Jadida,2020-03-28,18.5,13.9,85,51,0.4,18.8
El Jadida,2020-03-29,18.1,10.6,96,60,0.0,17.4
El Jadida,2020-03-30,19.1,10.2,94,53,1.7,35.6
El Jadida,2020-03-31,18.6,15.1,90,65,5.2,38.8
El Jadida,2020-04-01,17.9,13.8,86,61,4.2,22.8
El Jadida,2020-04-02,18.0,14.2,77,52,1.0,20.4
El Jadida,2020-04-03,18.6,11.0,88,57,0.0,26.7
